"1000,/regwiz"	{"10101": 1}
"1001,/support"	{"36615": 1}
"1002,/athome"	{"10020": 1}
"1003,/kb"	{"22658": 1}
"1004,/search"	{"10821": 1}
"1005,/norge"	{"10815": 1}
"1006,/misc"	{"10639": 1}
"1007,/ie_intl"	{"22792": 1}
"1008,/msdownload"	{"28402": 1}
"1009,/windows"	{"19219": 1}
"1010,/vbasic"	{"10068": 1}
"1011,/officedev"	{"10010": 1}
"1012,/outlookdev"	{"10471": 1}
"1013,/vbasicsupport"	{"13189": 1}
"1014,/officefreestuff"	{"12059": 1}
"1015,/msexcel"	{"11692": 1}
"1016,/excel"	{"22628": 1}
"1017,/products"	{"34509": 1}
"1018,/isapi"	{"41840": 1}
"1019,/mspowerpoint"	{"12612": 1}
"1020,/msdn"	{"19715": 1}
"1021,/visualc"	{"31948": 1}
"1022,/truetype"	{"19949": 1}
"1023,/spain"	{"25903": 1}
"1024,/iis"	{"37211": 1}
"1025,/gallery"	{"10626": 1}
"1026,/sitebuilder"	{"36232": 1}
"1027,/intdev"	{"10038": 1}
"1028,/oledev"	{"10297": 1}
"1029,/clipgallerylive"	{"14238": 1}
"1030,/ntserver"	{"15277": 1}
"1031,/msoffice"	{"15867": 1}
"1032,/games"	{"10019": 1}
"1033,/logostore"	{"10019": 1}
"1034,/ie"	{"19570": 1}
"1035,/windowssupport"	{"10031": 1}
"1036,/organizations"	{"10021": 1}
"1037,/windows95"	{"10837": 1}
"1038,/sbnmember"	{"10021": 1}
"1039,/isp"	{"10021": 1}
"1040,/office"	{"31950": 1}
"1041,/workshop"	{"16574": 1}
"1042,/vstudio"	{"10156": 1}
"1043,/smallbiz"	{"10076": 1}
"1044,/mediadev"	{"24245": 1}
"1045,/netmeeting"	{"10025": 1}
"1046,/iesupport"	{"16206": 1}
"1048,/publisher"	{"10036": 1}
"1049,/supportnet"	{"26716": 1}
"1050,/macoffice"	{"10032": 1}
"1051,/scheduleplus"	{"10035": 1}
"1052,/word"	{"11501": 1}
"1053,/visualj"	{"10049": 1}
"1054,/exchange"	{"29719": 1}
"1055,/kids"	{"10185": 1}
"1056,/sports"	{"22150": 1}
"1057,/powerpoint"	{"10038": 1}
"1058,/referral"	{"13207": 1}
"1059,/sverige"	{"10560": 1}
"1060,/msword"	{"26596": 1}
